reporter	gene	a15234.R	a15234.G	a15235.R	a15235.G	a15236.R	a15236.G	a15237.R	a15237.G	a15238.R	a15238.G	a15239.R	a15239.G	a15240.R	a15240.G	a15241.R	a15241.G	a15242.R	a15242.G	a15243.R	a15243.G	a15244.R	a15244.G	a15245.R	a15245.G	a15246.R	a15246.G	a15247.R	a15247.G	a15248.R	a15248.G	a15249.R	a15249.G	a15250.R	a15250.G	a15251.R	a15251.G	a15252.R	a15252.G	a15253.R	a15253.G
PU11674	I077P87	1899	2926	34913.5	34908	580	1188.5	652	1413	2038	1951	3368.5	2341	685.5	1376	725.5	764.5	3500	2852	1088.5	1524	1167.5	1202.5	515.5	599.5	3206.5	2469	638.5	551.5	849.5	539.5	489.5	442.5	1652.5	1782.5	1053.5	2504.5	529.5	1079.5	479	1151
PU11482	I009P53	15750	25778.5	25351.5	30203.5	1358.5	1814	1452.5	2074	20005	18233	32677.5	21713.5	1528.5	2074.5	1687.5	1178.5	31144	25060.5	10020.5	13070.5	2451.5	2559	1098.5	1214.5	27130.5	22699.5	1533	1256	2060.5	1432	1229.5	1124	19025	20208.5	2302.5	9424.5	1307	4566.5	1114	4534.5
PU11668	I077P08	242	405	344	445	17.5	236	67.5	477	171	261	421	212.5	100	303	151.5	314	293.5	342	52	143.5	107.5	144.5	13.5	31	259	179.5	141.5	76	90	32.5	11.5	1.5	286	526.5	104.5	185.5	44.5	94	13.5	114
PU11476	I076P94	43852	51408	59972	58354	0	29	14	96	40768.5	34407.5	62119	39645.5	20.5	164.5	51	96.5	54195	43340.5	18739.5	22518.5	111.5	144	0	27	50933.5	41550	42.5	114	205.5	200	0	42	33079	32875.5	63.5	156	41.5	182	0	67.5
PU11302	I066P18	33345	37966	59658.5	52537	166.5	476	206.5	824.5	30502	23696.5	43665.5	28020	254.5	594	414.5	535.5	37027	32235	27468	30286	683.5	642	205.5	211.5	39204.5	31458	306.5	195	640	301.5	221.5	133	29365.5	28179.5	531	776.5	291	344	171	259
PU11110	I066P01	58273	62895	65535	65535	0	11	0	55.5	50047.5	41969.5	60976.5	49348	15.5	53	20.5	55.5	56629	52138	42030.5	49520	13	72	0	20.5	61382.5	51246	24	59.5	53.5	73	0	19	47556.5	48751.5	5.5	99.5	0	52	0	42
PU11296	I065P44	1522.5	2349.5	4950	5184	0	11	0	47.5	2783.5	2597	1987.5	1357	0	0	13.5	64.5	2945	3135.5	1675.5	2430	12.5	61	0	24.5	2015.5	1665	0	37.5	9.5	46	0	1.5	1309	1361	2	60.5	0	57.5	0	24.5
PU11104	I065P33	2061	2829.5	4894	4907.5	140	417.5	271	604	2679.5	2395.5	2590	1836.5	263	531	309.5	326	3097	2723	2033	2620.5	538	592.5	150	169.5	3017.5	2503.5	303.5	257.5	340	268.5	174.5	178	1390	1525.5	462.5	1658	195	803	141.5	697.5
PU11290	I064P75	1504	2525.5	4947.5	5701	484.5	924.5	531.5	1575.5	2733.5	2820	2172	1750	574	1131.5	633.5	880.5	3308.5	3357	1875.5	2630.5	1087	1028	387	399.5	2737	2035.5	634	197.5	812.5	187.5	450.5	112.5	1426.5	1638.5	970.5	2628.5	495	1277	415.5	1115
PU11098	I064P65	26718.5	40293.5	50294.5	49507.5	1004	1908	927.5	2615.5	31605	27734.5	49818	36597.5	1188	2075	1345.5	1884.5	40139.5	35164	26295.5	31098	1773	1486.5	788.5	678.5	43383.5	36181.5	1308.5	581	1734.5	656	1036	455.5	30797	33020.5	1661	4027	1042	2273.5	787.5	1829
PU11284	I064P12	2615	3393	5072.5	5310.5	0	68.5	20	210.5	3461	3188	2963.5	2168	9	78	73	106	3999.5	3666.5	2176	2698.5	51	138	3.5	49.5	3290	2707.5	7	71	88.5	97	0	18.5	1748	1942.5	118.5	328	6.5	145	0	123
PU11092	I063P96	8294	9253.5	14374	12853.5	43.5	152.5	304.5	597	8241.5	6483	10602.5	7267	119.5	267	205	220	11379	8455	4065.5	4982.5	131.5	171.5	237	339.5	9812	7436	86.5	113	216	166.5	5.5	35.5	4760	4509	138.5	323	80.5	172.5	33.5	148.5
PU10918	I051P33	27194.5	37024	49225	46568.5	47	168.5	109	378	27006.5	25027	37315.5	26148	114	294	179.5	228	34115.5	29913	14775.5	19538	215	218	39.5	77.5	34418	28202	151.5	106	162.5	92	34	38	19550.5	21503.5	209.5	698	103.5	326.5	49	285.5
PU10726	I051P19	2350.5	3894	6958	6927.5	0	12.5	0	96.5	3563	3529.5	2881.5	2019.5	6	44.5	11.5	50	5517	4851.5	1256.5	2008.5	0	47	0	11	3186.5	2588.5	11.5	63	0	15.5	0	3.5	1922	2140.5	0	60	0	50.5	0	43
PU10912	I050P32	692.5	1114	1915.5	2200	1.5	63.5	76.5	402.5	840.5	1183	953	608.5	66	217.5	106	221	1627.5	1614.5	510	642	87	66	0	32	870	658.5	59.5	43	73	45.5	2.5	0.5	755.5	993	146.5	555	30	225	21	211
PU10720	I050P19	24515	37695	32984	34409.5	283	542.5	230.5	613	27377	27388.5	44267	32792.5	243.5	492.5	363	447.5	39339.5	35788	12034	16178	405.5	410	125.5	179.5	34504	31269.5	306	153.5	482	267	165	106	23577	30757.5	416	1281.5	284.5	688	153.5	644.5
PU10906	I048P72	3145.5	5189	7414.5	7639.5	210.5	681.5	271.5	1126	4512	4251	2647.5	1800	317	762.5	370.5	598	4419	4261	3304.5	4418.5	613.5	580.5	142.5	138.5	4516	3525	296.5	98	346.5	84	178	39.5	2702	2979.5	446	740.5	227	354	168.5	267.5
PU10714	I048P52	1444	2275	3088	3641.5	70.5	365.5	155.5	932	2092	2215.5	1075.5	905	226	514.5	248.5	587.5	2448	2609	1291.5	2066	260.5	163.5	97.5	90.5	1865	1375	211.5	53.5	237	39.5	61.5	5	859	1104	266.5	559	46	166	62.5	175.5
PU10900	I047P45	1738.5	2319.5	3462	3708	0	5	0	22	1793.5	1898	1133.5	774	57.5	43.5	0	19	2482	2576	1337	1947.5	0	22.5	0	9	1712	1488	0	30.5	0	4.5	0	0.5	858.5	1091.5	0	23	0	10.5	0	4.5
PU10708	I047P32	2246.5	4068	7134.5	7778	0	43	0	74	4129.5	3863.5	2837.5	2158.5	58.5	86	38.5	75	4240	4206.5	2769	3867	25.5	104.5	0	33.5	3395	2986	20.5	58	34	73	0	8.5	1341.5	1526	23.5	79.5	0	64.5	0	52
PU10534	I028P29	4263	4995	8626	8517	0	11	0	26.5	5089.5	4165	4649.5	3391.5	0.5	0	0	37	5687	5205.5	4013.5	4865.5	0	57	0	21	4530.5	3905	0	49	3	54	0	12	2111	2131.5	0	215	0	114.5	0	60
PU10342	I028P08	1898	2697	5117.5	4977.5	0	14.5	0	39	2437.5	2281.5	2762	2064	0	14.5	0	35	3514	3237.5	1765	2497.5	0.5	49.5	0	16.5	2817.5	2315.5	0	42	0	37	0	4.5	1448.5	1528.5	0	58.5	0	48	0	23
PU10528	I027P36	5861	8763.5	15297	15562	103	311.5	109.5	296	7194	6838	9854.5	6896.5	153.5	357.5	249.5	192.5	9513	8907	5925.5	7182.5	237.5	288	79	152.5	8734	7484	144	150	252	160.5	92	89.5	6313	6879	220	1013.5	147.5	503.5	92.5	503.5
PU10336	I027P17	7672	11781	15193.5	14747.5	338	533.5	353	637	7732.5	6960	13465	9158.5	346.5	579	443.5	378	11817	9611	5792.5	6696	578	719.5	240	272	11208	8829	395.5	400	588.5	427.5	281.5	297	4416	4860	614.5	1767	304.5	808	86.5	735.5
PU10522	I026P29	1696	2396	4748	4749	0	12	0	16.5	2076.5	1854	2828.5	1885.5	0	0	11	26.5	3641.5	2873	1119.5	1517	0	38	0	16.5	2787.5	2080	0	52	8.5	45	0	1.5	1555	1605.5	0	56.5	0	47	0	11
PU10330	I026P16	1444.5	2194	4110	4346	0	6.5	0	19	1867	1733	3039	2015.5	0	0	0	24.5	3343.5	2935.5	795	1159	0	16	0	11	2537	2161	0	16.5	0	53.5	0	0	1471.5	1593	0	37	0	36.5	0	10
PU10516	I025P54	2705.5	4487.5	8058.5	7560	0	37	0	92.5	2709	3573.5	4361.5	2736	0	73.5	40.5	83	6205	5284	1846	2396	14.5	79	0	25.5	4239	3254.5	9.5	61	35	68	0	3.5	2365.5	2385	41	179.5	5.5	110.5	0	76.5
PU10324	I025P43	30787.5	36952.5	50563	42557	415	768	386.5	925.5	25639.5	22935	49485.5	29952	425.5	725	539	580.5	35208.5	27503	13921.5	16437	798.5	804	334.5	357	33434	29112	448.5	390	670.5	436.5	320.5	275.5	18950	20972	681	1760	429.5	923	238.5	762
PU10150	I013P86	4050	6062.5	13536.5	11532	3683.5	1549	4056.5	2862	5725.5	4586.5	4355.5	2653	4689	1766.5	5126	1695.5	7774	6438	4470	5177.5	7840.5	1515.5	3442	610.5	6302.5	4436	4979.5	445.5	5492.5	383	3989	321.5	2904.5	5526.5	4893	45742.5	3539	26467	3403.5	25682
PU09958	I013P72	16106	22022	34606	32997.5	0	9	0	10	16432.5	14405	21556	13906	8	20	0.5	20.5	24193.5	21420.5	13969.5	17552	0	44	0	12	23497.5	19285.5	0	37	6	54	0	2	14536.5	15356	0	58	0	32.5	0	8.5
